frame,class,player
1,Roll,
2,Roll,
3,Roll,
4,Roll,
5,Roll,
6,Roll,
7,Roll,
8,Roll,
9,Roll,
10,Roll,
11,Roll,
12,Roll,
13,Roll,
14,Roll,
15,Roll,
16,Roll,
17,Roll,
18,Roll,
19,Roll,
20,Roll,
21,Roll,
22,Roll,
23,Roll,
24,Roll,
25,Roll,
26,Roll,
27,Roll,
28,Roll,
29,Roll,
30,Other,
31,Other,
32,Other,
33,Other,
34,Other,
35,Other,
36,Other,
37,Other,
38,Other,
39,Other,
40,Other,
41,Other,
42,Other,
43,Other,
44,Other,
45,Other,
46,Other,
47,Other,
48,Other,
49,Other,
50,Other,
51,Other,
52,Other,
53,Other,
54,Other,
55,Other,
56,Other,
57,Other,
58,Other,
59,Other,
60,Other,None
61,Other,None
62,Other,None
63,Other,None
64,Other,None
65,Other,None
66,Other,None
67,Other,None
68,Other,None
69,Other,None
70,Other,None
71,Other,None
72,Other,None
73,Other,None
74,Other,None
75,Other,None
76,Other,None
77,Other,None
78,Other,None
79,Other,None
80,Other,None
81,Other,None
82,Other,None
83,Other,None
84,Other,None
85,Other,None
86,Other,None
87,Other,None
88,Other,None
89,Other,None
